week_end_date,component,component_type,uom,required_qty,safety_stock,on_hand_qty,recommended_purchase_qty
2026-04-19,Corriander,ingredient,kg,21,4,2,23
2026-04-19,Dates,ingredient,kg,20,3,20,3
2026-04-19,Garlic,ingredient,kg,1,1,5,0
2026-04-19,Ginger,ingredient,kg,1,1,4,0
2026-04-19,Green chilli,ingredient,kg,21,4,2,23
2026-04-19,Lemon,ingredient,kg,1,1,6,0
2026-04-19,Lentils,ingredient,kg,3,1,12,0
2026-04-19,Mint,ingredient,kg,20,3,2,21
2026-04-19,Onion,ingredient,kg,2,1,20,0
2026-04-19,Potato,ingredient,kg,3,1,10,0
2026-04-19,Spices Mix,ingredient,kg,1,1,3,0
2026-04-19,Strawberry,ingredient,kg,1,1,5,0
2026-04-19,Tamarid,ingredient,kg,10,2,10,2
2026-04-19,Tomato,ingredient,kg,1,1,15,0
2026-04-19,Yogurt Base,ingredient,kg,1,1,8,0
2026-04-19,spices mix,ingredient,kg,1,1,0,2
2026-04-19,Drink Cup Type L,packaging,each,4,1,180,0
2026-04-19,Pani Puri Box Type B,packaging,each,15,2,100,0
2026-04-19,Soup Container Type S,packaging,each,12,2,120,0
2026-04-19,Water Bottle,packaging,each,3,1,100,0
2026-04-19,Yogurt Cup Type A,packaging,each,3,1,200,0
