week_end_date,component,component_type,uom,required_qty,safety_stock,on_hand_qty,recommended_purchase_qty
2026-04-12,Chickpea,ingredient,kg,3,1,20,0
2026-04-12,Corriander,ingredient,kg,17,3,4,16
2026-04-12,Dates,ingredient,kg,16,3,20,0
2026-04-12,Garlic,ingredient,kg,2,1,10,0
2026-04-12,Ginger,ingredient,kg,2,1,5,0
2026-04-12,Green chilli,ingredient,kg,19,3,5,17
2026-04-12,Lemon,ingredient,kg,2,1,6,0
2026-04-12,Lentils,ingredient,kg,2,1,25,0
2026-04-12,Mint,ingredient,kg,16,3,5,14
2026-04-12,Onion,ingredient,kg,5,1,25,0
2026-04-12,Paneer,ingredient,kg,3,1,20,0
2026-04-12,Potato,ingredient,kg,2,1,20,0
2026-04-12,Red KidneyBean,ingredient,kg,3,1,20,0
2026-04-12,Spices Mix,ingredient,kg,1,1,5,0
2026-04-12,Strawberry,ingredient,kg,1,1,10,0
2026-04-12,Tamarid,ingredient,kg,8,2,10,0
2026-04-12,Tomato,ingredient,kg,4,1,30,0
2026-04-12,Yogurt Base,ingredient,kg,2,1,15,0
2026-04-12,spices mix,ingredient,kg,1,1,0,2
2026-04-12,Drink Cup Type L,packaging,each,7,1,180,0
2026-04-12,Meal Box Type 1,packaging,each,30,3,500,0
2026-04-12,Pani Puri Box Type B,packaging,each,8,1,300,0
2026-04-12,Soup Container Type S,packaging,each,9,1,300,0
2026-04-12,Water Bottle,packaging,each,6,1,100,0
2026-04-12,Yogurt Cup Type A,packaging,each,9,1,300,0
