week_end_date,component,component_type,uom,required_qty,safety_stock,on_hand_qty,recommended_purchase_qty
2026-04-19,Chickpea,ingredient,kg,5,1,10,0
2026-04-19,Corriander,ingredient,kg,27,5,2,30
2026-04-19,Dates,ingredient,kg,26,4,20,10
2026-04-19,Garlic,ingredient,kg,5,1,5,1
2026-04-19,Ginger,ingredient,kg,5,1,4,2
2026-04-19,Green chilli,ingredient,kg,31,5,2,34
2026-04-19,Lemon,ingredient,kg,2,1,6,0
2026-04-19,Lentils,ingredient,kg,3,1,12,0
2026-04-19,Mint,ingredient,kg,26,4,2,28
2026-04-19,Onion,ingredient,kg,9,2,20,0
2026-04-19,Paneer,ingredient,kg,8,2,10,0
2026-04-19,Potato,ingredient,kg,2,1,10,0
2026-04-19,Red KidneyBean,ingredient,kg,6,1,10,0
2026-04-19,Spices Mix,ingredient,kg,1,1,3,0
2026-04-19,Strawberry,ingredient,kg,1,1,5,0
2026-04-19,Tamarid,ingredient,kg,13,2,10,5
2026-04-19,Tomato,ingredient,kg,9,2,15,0
2026-04-19,Yogurt Base,ingredient,kg,4,1,8,0
2026-04-19,spices mix,ingredient,kg,1,1,0,2
2026-04-19,Drink Cup Type L,packaging,each,6,1,180,0
2026-04-19,Meal Box Type 1,packaging,each,71,8,150,0
2026-04-19,Pani Puri Box Type B,packaging,each,9,1,100,0
2026-04-19,Soup Container Type S,packaging,each,12,2,120,0
2026-04-19,Water Bottle,packaging,each,8,1,100,0
2026-04-19,Yogurt Cup Type A,packaging,each,17,2,200,0
