date,item,quantity sold,price,market location
2025-10-18,Lentil soup,1.0,7.99,Mt Sac Farmers Market
2025-10-18,Lentil soup,1.0,7.99,Mt Sac Farmers Market
2025-10-18,Lentil soup,2.0,7.99,Mt Sac Farmers Market
2025-10-18,Lentil soup,2.0,7.99,Mt Sac Farmers Market
2025-10-18,Lentil soup,1.0,7.99,Mt Sac Farmers Market
2025-10-18,Lentil soup,1.0,7.99,Mt Sac Farmers Market
2025-10-18,Lentil soup,2.0,7.99,Mt Sac Farmers Market
2025-10-18,Lentil soup,1.0,7.99,Mt Sac Farmers Market
2025-10-18,Lentil soup,1.0,7.99,Mt Sac Farmers Market
2025-10-18,Paneer Meal plate,1.0,8.99,Mt Sac Farmers Market
2025-10-18,Paneer Meal plate,1.0,8.99,Mt Sac Farmers Market
2025-10-18,Paneer Meal plate,1.0,8.99,Mt Sac Farmers Market
2025-10-18,Paneer Meal plate,1.0,8.99,Mt Sac Farmers Market
2025-10-18,Paneer Meal plate,2.0,8.99,Mt Sac Farmers Market
2025-10-18,Paneer Meal plate,2.0,8.99,Mt Sac Farmers Market
2025-10-18,Paneer Meal plate,2.0,8.99,Mt Sac Farmers Market
2025-10-18,Paneer Meal plate,2.0,8.99,Mt Sac Farmers Market
2025-10-18,Paneer Meal plate,4.0,8.99,Mt Sac Farmers Market
2025-10-18,Paneer Meal plate,1.0,8.99,Mt Sac Farmers Market
2025-10-18,Paneer Meal plate,1.0,8.99,Mt Sac Farmers Market
2025-10-18,Paneer Meal plate,1.0,8.99,Mt Sac Farmers Market
2025-10-18,Paneer Meal plate,1.0,8.99,Mt Sac Farmers Market
2025-10-18,Pani Puri 12 Balls,1.0,6.0,Mt Sac Farmers Market
2025-10-18,Pani Puri 12 Balls,1.0,6.0,Mt Sac Farmers Market
2025-10-18,Pani Puri 12 Balls,2.0,6.0,Mt Sac Farmers Market
2025-10-18,Pani Puri 12 Balls,1.0,6.0,Mt Sac Farmers Market
2025-10-18,Pani Puri 12 Balls,1.0,6.0,Mt Sac Farmers Market
2025-10-18,Pani Puri 12 Balls,1.0,6.0,Mt Sac Farmers Market
2025-10-18,Pani Puri 12 Balls,2.0,6.0,Mt Sac Farmers Market
2025-10-18,Pani Puri 12 Balls,2.0,6.0,Mt Sac Farmers Market
2025-10-18,Pani Puri 12 Balls,1.0,6.0,Mt Sac Farmers Market
