week_end_date,component,component_type,uom,required_qty,safety_stock,on_hand_qty,recommended_purchase_qty
2026-04-19,Chickpea,ingredient,kg,6,1,20,0
2026-04-19,Corriander,ingredient,kg,19,3,4,18
2026-04-19,Dates,ingredient,kg,18,3,20,1
2026-04-19,Garlic,ingredient,kg,5,1,10,0
2026-04-19,Ginger,ingredient,kg,5,1,5,1
2026-04-19,Green chilli,ingredient,kg,23,4,5,22
2026-04-19,Lemon,ingredient,kg,2,1,6,0
2026-04-19,Lentils,ingredient,kg,5,1,25,0
2026-04-19,Mint,ingredient,kg,18,3,5,16
2026-04-19,Onion,ingredient,kg,9,2,25,0
2026-04-19,Paneer,ingredient,kg,7,2,20,0
2026-04-19,Potato,ingredient,kg,2,1,20,0
2026-04-19,Red KidneyBean,ingredient,kg,4,1,20,0
2026-04-19,Spices Mix,ingredient,kg,1,1,5,0
2026-04-19,Strawberry,ingredient,kg,1,1,10,0
2026-04-19,Tamarid,ingredient,kg,9,2,10,1
2026-04-19,Tomato,ingredient,kg,9,2,30,0
2026-04-19,Yogurt Base,ingredient,kg,4,1,15,0
2026-04-19,spices mix,ingredient,kg,1,1,0,2
2026-04-19,Drink Cup Type L,packaging,each,8,1,180,0
2026-04-19,Meal Box Type 1,packaging,each,62,7,500,0
2026-04-19,Pani Puri Box Type B,packaging,each,10,1,300,0
2026-04-19,Soup Container Type S,packaging,each,24,3,300,0
2026-04-19,Water Bottle,packaging,each,6,1,100,0
2026-04-19,Yogurt Cup Type A,packaging,each,19,2,300,0
