week_end_date,component,component_type,uom,required_qty,safety_stock,on_hand_qty,recommended_purchase_qty
2026-03-08,Chickpea,ingredient,kg,2.5,0.38,10.0,0.0
2026-03-08,Corriander,ingredient,kg,11.59,1.74,2.0,11.33
2026-03-08,Dates,ingredient,kg,11.5,1.72,20.0,0.0
2026-03-08,Garlic,ingredient,kg,1.6,0.24,5.0,0.0
2026-03-08,Ginger,ingredient,kg,1.6,0.24,4.0,0.0
2026-03-08,Green chilli,ingredient,kg,13.19,1.98,2.0,13.17
2026-03-08,Lemon,ingredient,kg,0.44,0.07,6.0,0.0
2026-03-08,Lentils,ingredient,kg,1.3,0.2,12.0,0.0
2026-03-08,Mint,ingredient,kg,11.5,1.72,2.0,11.22
2026-03-08,Onion,ingredient,kg,3.44,0.52,20.0,0.0
2026-03-08,Paneer,ingredient,kg,1.88,0.28,10.0,0.0
2026-03-08,Potato,ingredient,kg,1.29,0.19,10.0,0.0
2026-03-08,Red KidneyBean,ingredient,kg,2.0,0.3,10.0,0.0
2026-03-08,Spices Mix,ingredient,kg,0.18,0.03,3.0,0.0
2026-03-08,Strawberry,ingredient,kg,0.48,0.07,5.0,0.0
2026-03-08,Tamarid,ingredient,kg,5.75,0.86,10.0,0.0
2026-03-08,Tomato,ingredient,kg,3.07,0.46,15.0,0.0
2026-03-08,Yogurt Base,ingredient,kg,1.9,0.29,8.0,0.0
2026-03-08,spices mix,ingredient,kg,0.29,0.04,0.0,0.33
2026-03-08,Drink Cup Type L,packaging,each,2.0,0.0,180.0,0.0
2026-03-08,Meal Box Type 1,packaging,each,26.0,3.0,150.0,0.0
2026-03-08,Pani Puri Box Type B,packaging,each,9.0,1.0,100.0,0.0
2026-03-08,Soup Container Type S,packaging,each,6.0,1.0,120.0,0.0
2026-03-08,Water Bottle,packaging,each,1.0,0.0,100.0,0.0
2026-03-08,Yogurt Cup Type A,packaging,each,10.0,1.0,200.0,0.0
