item,component,quantity per unit,kg,component_type
Paneer Meal plate,Paneer,0.25,kg,ingredient
Paneer Meal plate,Onion,0.1,kg,ingredient
Paneer Meal plate,Ginger,0.05,kg,ingredient
Paneer Meal plate,Green chilli,0.05,kg,ingredient
Paneer Meal plate,Garlic,0.05,kg,ingredient
Paneer Meal plate,Tomato,0.1,kg,ingredient
Paneer Meal plate,Meal Box Type 1,1.0,each,packaging
Chickpea Meal plate,Chickpea,0.25,kg,ingredient
Chickpea Meal plate,Onion,0.1,kg,ingredient
Chickpea Meal plate,Ginger,0.05,kg,ingredient
Chickpea Meal plate,Green chilli,0.05,kg,ingredient
Chickpea Meal plate,Garlic,0.05,kg,ingredient
Chickpea Meal plate,Tomato,0.1,kg,ingredient
Chickpea Meal plate,Meal Box Type 1,1.0,each,packaging
Red KidneyBean Plate,Red KidneyBean,0.25,kg,ingredient
Red KidneyBean Plate,Onion,0.1,kg,ingredient
Red KidneyBean Plate,Ginger,0.05,kg,ingredient
Red KidneyBean Plate,Green chilli,0.05,kg,ingredient
Red KidneyBean Plate,Garlic,0.05,kg,ingredient
Red KidneyBean Plate,Tomato,0.1,kg,ingredient
Red KidneyBean Plate,Meal Box Type 1,1.0,each,packaging
Strawberry yogurt,Yogurt Base,0.2,kg,ingredient
Strawberry yogurt,Strawberry,0.05,kg,ingredient
Strawberry yogurt,Yogurt Cup Type A,1.0,each,packaging
Pepsi Lemonade,Lemon,0.25,kg,ingredient
Pepsi Lemonade,Drink Cup Type L,1.0,each,packaging
Lentil soup,Green chilli,0.05,kg,ingredient
Lentil soup,Ginger,0.05,kg,ingredient
Lentil soup,Garlic,0.05,kg,ingredient
Lentil soup,Lentils,0.2,kg,ingredient
Lentil soup,Onion,0.08,kg,ingredient
Lentil soup,Tomato,0.08,kg,ingredient
Lentil soup,Soup Container Type S,1.0,each,packaging
Pani Puri 12 Balls,Potato Stuffing,0.15,kg,subcomponent
Pani Puri 12 Balls,Pani Puri Box Type B,1.0,each,packaging
Pani Puri 5 Balls,Potato Stuffing,0.08,kg,subcomponent
Pani Puri 5 Balls,pani puri water,4.0,kg,subcomponent
Pani Puri 5 Balls,Tamarid chutney,0.5,kg,subcomponent
Water,Water Bottle,1.0,each,packaging
