week_end_date,component,component_type,uom,required_qty,safety_stock,on_hand_qty,recommended_purchase_qty
2026-03-08,Corriander,ingredient,kg,13,2,2,13
2026-03-08,Dates,ingredient,kg,12,2,20,0
2026-03-08,Garlic,ingredient,kg,2,1,5,0
2026-03-08,Ginger,ingredient,kg,2,1,4,0
2026-03-08,Green chilli,ingredient,kg,14,3,2,15
2026-03-08,Lemon,ingredient,kg,1,1,6,0
2026-03-08,Lentils,ingredient,kg,1,1,12,0
2026-03-08,Mint,ingredient,kg,12,2,2,12
2026-03-08,Onion,ingredient,kg,3,1,20,0
2026-03-08,Paneer,ingredient,kg,5,1,10,0
2026-03-08,Potato,ingredient,kg,1,1,10,0
2026-03-08,Spices Mix,ingredient,kg,1,1,3,0
2026-03-08,Strawberry,ingredient,kg,1,1,5,0
2026-03-08,Tamarid,ingredient,kg,6,1,10,0
2026-03-08,Tomato,ingredient,kg,3,1,15,0
2026-03-08,Yogurt Base,ingredient,kg,2,1,8,0
2026-03-08,spices mix,ingredient,kg,1,1,0,2
2026-03-08,Drink Cup Type L,packaging,each,3,1,180,0
2026-03-08,Meal Box Type 1,packaging,each,17,2,150,0
2026-03-08,Pani Puri Box Type B,packaging,each,6,1,100,0
2026-03-08,Soup Container Type S,packaging,each,5,1,120,0
2026-03-08,Water Bottle,packaging,each,3,1,100,0
2026-03-08,Yogurt Cup Type A,packaging,each,8,1,200,0
