date,item,quantity sold,price,market location
2026-01-17,Chickpea Meal plate,1.0,8.99,Mt Sac Farmers Market
2026-01-17,Chickpea Meal plate,2.0,8.99,Mt Sac Farmers Market
2026-01-17,Chickpea Meal plate,2.0,8.99,Mt Sac Farmers Market
2026-01-17,Chickpea Meal plate,1.0,8.99,Mt Sac Farmers Market
2026-01-17,Chickpea Meal plate,1.0,8.99,Mt Sac Farmers Market
2026-01-17,Lentil soup,1.0,7.99,Mt Sac Farmers Market
2026-01-17,Lentil soup,1.0,7.99,Mt Sac Farmers Market
2026-01-17,Lentil soup,2.0,7.99,Mt Sac Farmers Market
2026-01-17,Lentil soup,1.0,7.99,Mt Sac Farmers Market
2026-01-17,Lentil soup,1.0,7.99,Mt Sac Farmers Market
2026-01-17,Paneer Meal plate,1.0,8.99,Mt Sac Farmers Market
2026-01-17,Paneer Meal plate,2.0,8.99,Mt Sac Farmers Market
2026-01-17,Paneer Meal plate,1.0,8.99,Mt Sac Farmers Market
2026-01-17,Paneer Meal plate,1.0,8.99,Mt Sac Farmers Market
2026-01-17,Paneer Meal plate,1.0,8.99,Mt Sac Farmers Market
2026-01-17,Pani Puri 12 Balls,1.0,6.0,Mt Sac Farmers Market
2026-01-17,Pani Puri 12 Balls,1.0,6.0,Mt Sac Farmers Market
2026-01-17,Pani Puri 12 Balls,2.0,6.0,Mt Sac Farmers Market
2026-01-17,Pani Puri 12 Balls,1.0,6.0,Mt Sac Farmers Market
2026-01-17,Pani Puri 12 Balls,1.0,6.0,Mt Sac Farmers Market
2026-01-17,Pani Puri 12 Balls,1.0,6.0,Mt Sac Farmers Market
2026-01-17,Pani Puri 12 Balls,1.0,6.0,Mt Sac Farmers Market
2026-01-17,Pani Puri 12 Balls,1.0,6.0,Mt Sac Farmers Market
2026-01-17,Pani Puri 5 Balls,1.0,3.0,Mt Sac Farmers Market
2026-01-17,Pani Puri 5 Balls,1.0,3.0,Mt Sac Farmers Market
2026-01-17,Pani Puri 5 Balls,1.0,3.0,Mt Sac Farmers Market
2026-01-17,Pani Puri 5 Balls,1.0,3.0,Mt Sac Farmers Market
2026-01-17,Pani Puri 5 Balls,1.0,3.0,Mt Sac Farmers Market
2026-01-17,Pani Puri 5 Balls,1.0,3.0,Mt Sac Farmers Market
2026-01-17,Pepsi Lemonade,1.0,4.0,Mt Sac Farmers Market
