week_end_date,component,component_type,uom,required_qty,safety_stock,on_hand_qty,recommended_purchase_qty
2026-04-18,Chickpea,ingredient,kg,0,0,20,0
2026-04-18,Corriander,ingredient,kg,0,0,4,0
2026-04-18,Dates,ingredient,kg,0,0,20,0
2026-04-18,Garlic,ingredient,kg,0,0,10,0
2026-04-18,Ginger,ingredient,kg,0,0,5,0
2026-04-18,Green chilli,ingredient,kg,0,0,5,0
2026-04-18,Lemon,ingredient,kg,0,0,6,0
2026-04-18,Lentils,ingredient,kg,0,0,25,0
2026-04-18,Mint,ingredient,kg,0,0,5,0
2026-04-18,Onion,ingredient,kg,0,0,25,0
2026-04-18,Paneer,ingredient,kg,0,0,20,0
2026-04-18,Potato,ingredient,kg,0,0,20,0
2026-04-18,Red KidneyBean,ingredient,kg,0,0,20,0
2026-04-18,Spices Mix,ingredient,kg,0,0,5,0
2026-04-18,Strawberry,ingredient,kg,0,0,10,0
2026-04-18,Tamarid,ingredient,kg,0,0,10,0
2026-04-18,Tomato,ingredient,kg,0,0,30,0
2026-04-18,Yogurt Base,ingredient,kg,0,0,15,0
2026-04-18,spices mix,ingredient,kg,0,0,0,0
2026-04-18,Drink Cup Type L,packaging,each,0,0,180,0
2026-04-18,Meal Box Type 1,packaging,each,0,0,500,0
2026-04-18,Pani Puri Box Type B,packaging,each,0,0,300,0
2026-04-18,Soup Container Type S,packaging,each,0,0,300,0
2026-04-18,Water Bottle,packaging,each,0,0,100,0
2026-04-18,Yogurt Cup Type A,packaging,each,0,0,300,0
