date,item,quantity sold,price,market location
2025-12-20,Lentil soup,1.0,7.99,Unknown
2025-12-20,Lentil soup,1.0,7.99,Unknown
2025-12-20,Lentil soup,2.0,7.99,Unknown
2025-12-20,Lentil soup,1.0,7.99,Unknown
2025-12-20,Lentil soup,1.0,7.99,Unknown
2025-12-20,Paneer Meal plate,1.0,8.99,Unknown
2025-12-20,Paneer Meal plate,2.0,8.99,Unknown
2025-12-20,Paneer Meal plate,1.0,8.99,Unknown
2025-12-20,Paneer Meal plate,1.0,8.99,Unknown
2025-12-20,Paneer Meal plate,1.0,8.99,Unknown
2025-12-20,Pani Puri 12 Balls,1.0,6.0,Unknown
2025-12-20,Pani Puri 12 Balls,1.0,6.0,Unknown
2025-12-20,Pani Puri 12 Balls,2.0,6.0,Unknown
2025-12-20,Pani Puri 12 Balls,1.0,6.0,Unknown
2025-12-20,Pani Puri 12 Balls,1.0,6.0,Unknown
2025-12-20,Pani Puri 12 Balls,1.0,6.0,Unknown
2025-12-20,Pani Puri 12 Balls,1.0,6.0,Unknown
2025-12-20,Pani Puri 12 Balls,1.0,6.0,Unknown
2025-12-20,Pani Puri 5 Balls,1.0,3.0,Unknown
2025-12-20,Pani Puri 5 Balls,1.0,3.0,Unknown
2025-12-20,Pani Puri 5 Balls,1.0,3.0,Unknown
2025-12-20,Pani Puri 5 Balls,1.0,3.0,Unknown
2025-12-20,Pani Puri 5 Balls,1.0,3.0,Unknown
2025-12-20,Pani Puri 5 Balls,1.0,3.0,Unknown
2025-12-20,Pepsi Lemonade,1.0,4.0,Unknown
2025-12-20,Pepsi Lemonade,1.0,4.0,Unknown
2025-12-20,Pepsi Lemonade,1.0,4.0,Unknown
2025-12-20,Strawberry yogurt,1.0,4.99,Unknown
2025-12-20,Strawberry yogurt,1.0,4.99,Unknown
2025-12-20,Strawberry yogurt,1.0,4.99,Unknown
2025-12-20,Strawberry yogurt,1.0,4.99,Unknown
2025-12-20,Strawberry yogurt,1.0,4.99,Unknown
2025-12-20,Strawberry yogurt,3.0,4.99,Unknown
2025-12-27,Lentil soup,1.0,7.99,Unknown
2025-12-27,Lentil soup,1.0,7.99,Unknown
2025-12-27,Lentil soup,1.0,7.99,Unknown
2025-12-27,Lentil soup,1.0,7.99,Unknown
2025-12-27,Lentil soup,1.0,7.99,Unknown
2025-12-27,Lentil soup,1.0,7.99,Unknown
